"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","description@de","invoice_label@de"
"tax_export_skr49","22","Steuerfreie Ausfuhr (§4 Nr. 1a UStG)","Steuerfreie Ausfuhr","Steuerfreie Ausfuhr","percent","0.0","sale","True","tax_group_0","","base","invoice","+43","100","","Steuerfreie Ausfuhr (§4 Nr. 1a UStG)","Steuerfreie Ausfuhr (§4 Nr. 1a UStG)"
"","","","","","","","","","","","tax","invoice","","100","chart_skr49_1840","",""
"","","","","","","","","","","","base","refund","-43","100","","",""
"","","","","","","","","","","","tax","refund","","100","chart_skr49_1840","",""
"tax_not_taxable_skr49","20","nicht steuerbare Umsätze","nicht steuerbare Umsätze","nicht steuerbare Umsätze","percent","0.0","sale","True","tax_group_0","","base","invoice","+45_BASE","100","","nicht steuerbare Umsätze","nicht steuerbare Umsätze"
"","","","","","","","","","","","tax","invoice","","100","chart_skr49_1840","",""
"","","","","","","","","","","","base","refund","-45_BASE","100","","",""
"","","","","","","","","","","","tax","refund","","100","chart_skr49_1840","",""
"tax_ust_19_skr49","10","19% Umsatzsteuer","19% USt","19% USt","percent","19.0","sale","True","tax_group_19","13","base","invoice","+81_BASE","100","","19% USt","19% USt"
"","","","","","","","","","","","tax","invoice","+81_TAX","100","chart_skr49_1850","",""
"","","","","","","","","","","","base","refund","-81_BASE","100","","",""
"","","","","","","","","","","","tax","refund","-81_TAX","100","chart_skr49_1850","",""
"tax_ust_7_skr49","15","7% Umsatzsteuer","7% USt","7% USt","percent","7.0","sale","True","tax_group_7","12","base","invoice","+86_BASE","100","","7% USt","7% USt"
"","","","","","","","","","","","tax","invoice","+86_TAX","100","chart_skr49_1845","",""
"","","","","","","","","","","","base","refund","-86_BASE","100","","",""
"","","","","","","","","","","","tax","refund","-86_TAX","100","chart_skr49_1845","",""
"tax_vst_19_skr49","10","19% Vorsteuer","19% VSt","19% VSt","percent","19.0","purchase","True","tax_group_19","19","base","invoice","","100","","19% VSt","19% VSt"
"","","","","","","","","","","","tax","invoice","-66","100","chart_skr49_0835","",""
"","","","","","","","","","","","base","refund","","100","","",""
"","","","","","","","","","","","tax","refund","+66","100","chart_skr49_0835","",""
"tax_vst_7_skr49","15","7% Vorsteuer","7% VSt","7% VSt","percent","7.0","purchase","True","tax_group_7","18","base","invoice","","100","","7% VSt","7% VSt"
"","","","","","","","","","","","tax","invoice","-66","100","chart_skr49_0830","",""
"","","","","","","","","","","","base","refund","","100","","",""
"","","","","","","","","","","","tax","refund","+66","100","chart_skr49_0830","",""
