"id","name","code","referentiecode","account_type","tag_ids","reconcile","sort_code"
"0101010","Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen","0101010","BivaKouVvp","asset_fixed","l10n_nl_rgs.account_tag_0101000","0","A.A.A"
"0101015","Actuele kostprijs kosten van oprichting en van uitgifte van aandelen","0101015","BIvaKouAkp","asset_fixed","l10n_nl_rgs.account_tag_0101000","0","A.A.A1"
"0101020","Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen","0101020","BIvaKouCae","asset_fixed","l10n_nl_rgs.account_tag_0101000","0","A.A.B"
"0101030","Cumulatieve herwaarderingen kosten van oprichting en van uitgifte van aandelen","0101030","BIvaKouCuh","asset_fixed","l10n_nl_rgs.account_tag_0101000","0","A.A.C"
"0102010","Verkrijgings- of vervaardigingsprijs kosten van ontwikkeling","0102010","BIvaKooVvp","asset_fixed","l10n_nl_rgs.account_tag_0102000","0","A.B.A"
"0102015","Actuele kostprijs kosten van ontwikkeling","0102015","BIvaKooAkp","asset_fixed","l10n_nl_rgs.account_tag_0102000","0","A.B.A1"
"0102020","Cumulatieve afschrijvingen en waardeverminderingen kosten van ontwikkeling","0102020","BIvaKooCae","asset_fixed","l10n_nl_rgs.account_tag_0102000","0","A.B.B"
"0102030","Cumulatieve herwaarderingen kosten van ontwikkeling","0102030","BIvaKooCuh","asset_fixed","l10n_nl_rgs.account_tag_0102000","0","A.B.C"
"0105010","Verkrijgings- of vervaardigingsprijs bouwclaims","0105010","BIvaBouVvp","asset_fixed","l10n_nl_rgs.account_tag_0105000","0","A.K.A"
"0105015","Actuele kostprijs bouwclaims","0105015","BIvaBouAkp","asset_fixed","l10n_nl_rgs.account_tag_0105000","0","A.K.A1"
"0105020","Cumulatieve afschrijvingen en waardeverminderingen bouwclaims","0105020","BIvaBouCae","asset_fixed","l10n_nl_rgs.account_tag_0105000","0","A.K.B"
"0105030","Cumulatieve herwaarderingen bouwclaims","0105030","BIvaBouCuh","asset_fixed","l10n_nl_rgs.account_tag_0105000","0","A.K.C"
"0106010","Verkrijgings- of vervaardigingsprijs concessies, vergunningen en intellectuele eigendom","0106010","BIvaCevVvp","asset_fixed","l10n_nl_rgs.account_tag_0106000","0","A.C.A"
"0106015","Actuele kostprijs concessies, vergunningen en intellectuele eigendom","0106015","BIvaCevAkp","asset_fixed","l10n_nl_rgs.account_tag_0106000","0","A.C.A1"
"0106020","Cumulatieve afschrijvingen en waardeverminderingen concessies, vergunningen en intellectuele eigendom","0106020","BIvaCevCae","asset_fixed","l10n_nl_rgs.account_tag_0106000","0","A.C.B"
"0106030","Cumulatieve herwaarderingen concessies, vergunningen en intellectuele eigendom","0106030","BIvaCevCuh","asset_fixed","l10n_nl_rgs.account_tag_0106000","0","A.C.C"
"0107010","Verkrijgings- of vervaardigingsprijs goodwill","0107010","BIvaGooVvp","asset_fixed","l10n_nl_rgs.account_tag_0107000","0","A.D.A"
"0107015","Actuele kostprijs goodwill","0107015","BIvaGooAkp","asset_fixed","l10n_nl_rgs.account_tag_0107000","0","A.D.A1"
"0107020","Cumulatieve afschrijvingen en waardeverminderingen goodwill","0107020","BIvaGooCae","asset_fixed","l10n_nl_rgs.account_tag_0107000","0","A.D.B"
"0107030","Cumulatieve herwaarderingen goodwill","0107030","BIvaGooCuh","asset_fixed","l10n_nl_rgs.account_tag_0107000","0","A.D.C"
"0109010","Verkrijgings- of vervaardigingsprijs vooruitbetalingen op immateriële vaste activa","0109010","BIvaVoiVvp","asset_fixed","l10n_nl_rgs.account_tag_0109000","0","A.E.A"
"0109015","Actuele kostprijs vooruitbetalingen op immateriële vaste activa","0109015","BIvaVoiAkp","asset_fixed","l10n_nl_rgs.account_tag_0109000","0","A.E.A1"
"0109020","Cumulatieve afschrijvingen en waardeverminderingen vooruitbetalingen op immateriële vaste activa","0109020","BIvaVoiCae","asset_fixed","l10n_nl_rgs.account_tag_0109000","0","A.E.B"
"0109030","Cumulatieve herwaarderingen vooruitbetalingen op immateriële vaste activa","0109030","BIvaVoiCuh","asset_fixed","l10n_nl_rgs.account_tag_0109000","0","A.E.C"
"0110010","Verkrijgings- of vervaardigingsprijs overige immateriële vaste activa","0110010","BIvaOivVvp","asset_fixed","l10n_nl_rgs.account_tag_0110000","0","A.Z.A"
"0110015","Actuele kostprijs overige immateriële vaste activa","0110015","BIvaOivAkp","asset_fixed","l10n_nl_rgs.account_tag_0110000","0","A.Z.A1"
"0110020","Cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa","0110020","BIvaOivCae","asset_fixed","l10n_nl_rgs.account_tag_0110000","0","A.Z.B"
"0110030","Cumulatieve herwaarderingen overige immateriële vaste activa","0110030","BIvaOivCuh","asset_fixed","l10n_nl_rgs.account_tag_0110000","0","A.Z.C"
"0201010","Verkrijgings- of vervaardigingsprijs terreinen","0201010","BMvaTerVvp","asset_fixed","l10n_nl_rgs.account_tag_0201000","0","B.A.A"
"0201015","Actuele kostprijs terreinen","0201015","BMvaTerAkp","asset_fixed","l10n_nl_rgs.account_tag_0201000","0","B.A.A1"
"0201020","Cumulatieve afschrijvingen en waardeverminderingen terreinen","0201020","BMvaTerCae","asset_fixed","l10n_nl_rgs.account_tag_0201000","0","B.A.B"
"0201030","Cumulatieve herwaarderingen terreinen","0201030","BMvaTerCuh","asset_fixed","l10n_nl_rgs.account_tag_0201000","0","B.A.C"
"0202010","Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen","0202010","BMvaBegVvp","asset_fixed","l10n_nl_rgs.account_tag_0202000","0","B.B.A"
"0202015","Actuele kostprijs bedrijfsgebouwen","0202015","BMvaBegAkp","asset_fixed","l10n_nl_rgs.account_tag_0202000","0","B.B.A1"
"0202020","Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen","0202020","BMvaBegCae","asset_fixed","l10n_nl_rgs.account_tag_0202000","0","B.B.B"
"0202030","Cumulatieve herwaarderingen bedrijfsgebouwen","0202030","BMvaBegCuh","asset_fixed","l10n_nl_rgs.account_tag_0202000","0","B.B.C"
"0203010","Verkrijgings- of vervaardigingsprijs verbouwingen","0203010","BMvaVerVvp","asset_fixed","l10n_nl_rgs.account_tag_0203000","0","B.C.A"
"0203015","Actuele kostprijs verbouwingen","0203015","BMvaVerAkp","asset_fixed","l10n_nl_rgs.account_tag_0203000","0","B.C.A1"
