"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_national","1","Binnenland (BTW code verplicht)","1","1","base.nl","","",""
"fiscal_position_template_eu_private","2","EU landen B2C (incl. Nederland)","1","","","base.europe","",""
"fiscal_position_template_eu","3","EU landen","1","1","","base.europe","btw_0","btw_X0_producten"
"","","","","","","","btw_9","btw_X0_producten"
"","","","","","","","btw_21","btw_X0_producten"
"","","","","","","","btw_9_incl","btw_X0_producten"
"","","","","","","","btw_21_incl","btw_X0_producten"
"","","","","","","","btw_0_d","btw_X0_diensten"
"","","","","","","","btw_9_d","btw_X0_diensten"
"","","","","","","","btw_21_d","btw_X0_diensten"
"","","","","","","","btw_9_d_incl","btw_X0_diensten"
"","","","","","","","btw_21_d_incl","btw_X0_diensten"
"","","","","","","","btw_9_buy","btw_I_9"
"","","","","","","","btw_21_buy","btw_I_21"
"","","","","","","","btw_9_buy_incl","btw_I_9"
"","","","","","","","btw_21_buy_incl","btw_I_21"
"fiscal_position_template_non_eu","4","Niet-EU landen","1","","","","btw_0","btw_X1"
"","","","","","","","btw_9","btw_X1"
"","","","","","","","btw_21","btw_X1"
"","","","","","","","btw_9_incl","btw_X1"
"","","","","","","","btw_21_incl","btw_X1"
"","","","","","","","btw_0_d","btw_X3"
"","","","","","","","btw_9_d","btw_X3"
"","","","","","","","btw_21_d","btw_X3"
"","","","","","","","btw_9_d_incl","btw_X3"
"","","","","","","","btw_21_d_incl","btw_X3"
"","","","","","","","btw_9_buy","btw_E1_9"
"","","","","","","","btw_21_buy","btw_E2"
"","","","","","","","btw_9_buy_incl","btw_E1_9"
"","","","","","","","btw_21_buy_incl","btw_E2"
"fiscal_position_template_btw_verlegd","10","BTW verlegd","","","","","btw_9_buy","btw_ink_1"
"","","","","","","","btw_9_buy_incl","btw_ink_1"
"","","","","","","","btw_21_buy","btw_ink_0"
"","","","","","","","btw_21_buy_incl","btw_ink_0"
"","","","","","","","btw_9","btw_verk_0"
"","","","","","","","btw_21","btw_verk_0"
"","","","","","","","btw_9_incl","btw_verk_0"
"","","","","","","","btw_21_incl","btw_verk_0"
"","","","","","","","btw_9_d","btw_verk_0_d"
"","","","","","","","btw_21_d","btw_verk_0_d"
"","","","","","","","btw_9_d_incl","btw_verk_0_d"
"","","","","","","","btw_21_d_incl","btw_verk_0_d"
"fiscal_position_template_installatie_en_afstandsverkopen","20","Installatie en Afstandsverkopen","","","","","btw_0","btw_X10"
"","","","","","","","btw_verk_0","btw_X10"
"","","","","","","","btw_9","btw_X10"
"","","","","","","","btw_21","btw_X10"
"","","","","","","","btw_9_incl","btw_X10"
"","","","","","","","btw_21_incl","btw_X10"
"","","","","","","","btw_0_d","btw_X10"
"","","","","","","","btw_9_d","btw_X10"
"","","","","","","","btw_21_d","btw_X10"
"","","","","","","","btw_9_d_incl","btw_X10"
"","","","","","","","btw_21_d_incl","btw_X10"
