id,name,code,referentiecode,sort_code,rgs_allowed_journals_code,rgs_allowed_journals_type,parent_id,code_prefix_start,code_prefix_end
account_group_B,BALANS,B,B,,,,,,
account_group_04,Effecten (kortlopend),4,BEff,H,MISC,bank,account_group_B,,
account_group_06,Egalisatierekening,6,BEga,J.Z.B,MISC,,account_group_B,,
account_group_05,Groepsvermogen - Eigen vermogen - Kapitaal,5,BEiv,J,MISC,,account_group_B,,
account_group_03,Financiële vaste activa,3,BFva,D,MISC,,account_group_B,,
account_group_01,Immateriële vaste activa,1,BIva,A,"DEPR,MISC",purchase,account_group_B,,
account_group_08,Langlopende schulden,8,BLas,L,MISC,bank,account_group_B,,
account_group_10,Liquide middelen,10,BLim,I,,,account_group_B,,
account_group_02,Materiële vaste activa,2,BMva,B,"DEPR,MISC",purchase,account_group_B,,
account_group_35,Onderhanden projecten (activa),35,BPro,F,MISC,"purchase,sale",account_group_B,,
account_group_12,Kortlopende schulden,12,BSch,M,,,account_group_B,,
account_group_02_1,Vastgoedbeleggingen,2.1,BVas,C,MISC,purchase,account_group_B,,
account_group_11,Vorderingen,11,BVor,G,,,account_group_B,,
account_group_30,Voorraden,30,BVrd,E,"MISC,STJ",purchase,account_group_B,,
account_group_07,Voorzieningen,7,BVrz,K,MISC,,account_group_B,,
account_group_W,WINST- EN VERLIESREKENING,W,W,,,,,,
account_group_89,Aandeel derden,89,WAad,Z.07,"MISC,ACCR",bank,account_group_W,,
account_group_41,Afschrijvingen op immateriële en materiële vaste activa,41,WAfs,T,,,account_group_W,,
account_group_80_9,Algemene beheerskosten,80.9,WAkf,O.U,MISC,purchase,account_group_W,,
account_group_42,Overige bedrijfskosten,42,WBed,W,,,account_group_W,,
account_group_60,Belastingen,60,WBel,Z.03,MISC,bank,account_group_W,,
account_group_41_2,Overige waardeveranderingen,41.2,WBwv,V,,,account_group_W,,
account_group_50,Financiële baten en lasten,50,WFbe,Z.02,MISC,bank,account_group_W,,
