"id","name","account_asset_id","account_expense_depreciation_id","account_depreciation_id","journal_id","group_ids","method","method_number","method_period","method_time","method_progress_factor","prorata"
"account_asset_profile_01","Andere vaste bedrijfsmiddelen","0214010","4102080","0214020","depreciations","account_asset_group_02","linear","5","month","year","0.3","1"
"account_asset_profile_02","Bedrijfsgebouwen (20 jaar)","0202010","4102010","0202020","depreciations","account_asset_group_02","linear","20","month","year","0.3","1"
"account_asset_profile_03","Goodwill (10 jaar)","0107010","4101070","0107020","depreciations","account_asset_group_01","linear","10","month","year","0.3","1"
"account_asset_profile_04","Inventaris","0215010","4102090","0215020","depreciations","account_asset_group_02","linear","5","month","year","0.3","1"
"account_asset_profile_05","Kosten van ontwikkeling","0102010","4101020","0102020","depreciations","account_asset_group_01","linear","5","month","year","0.3","1"
"account_asset_profile_06","Machines en installaties","0210010","4102050","0210020","depreciations","account_asset_group_02","linear","5","month","year","0.3","1"
"account_asset_profile_07","Overige immateriële vaste activa","0110010","4101100","0110020","depreciations","account_asset_group_01","linear","5","month","year","0.3","1"
"account_asset_profile_08","Terreinen (20 jaar)","0201010","4102005","0201020","depreciations","account_asset_group_02","linear","20","month","year","0.3","1"
"account_asset_profile_09","Verbouwingen","0203010","4102020","0203020","depreciations","account_asset_group_02","linear","10","month","year","0.3","1"
"account_asset_profile_10","Concessies, vergunningen en intellectuele eigendom","0106010","4101030","0106020","depreciations","account_asset_group_01","linear","5","month","year","0.3","1"
"account_asset_profile_11","Transportmiddelen","0213010","4102070","0213020","depreciations","account_asset_group_02","linear","5","month","year","0.3","1"
